"filename", "language", "JSON with Comments", "JSON", "TypeScript", "JavaScript JSX", "TypeScript JSX", "Markdown", "HTML", "PostCSS", "comment", "blank", "total"
"d:\websites and web apps\JU_CONNECTs\README.md", "Markdown", 0, 0, 0, 0, 0, 341, 0, 0, 0, 116, 457
"d:\websites and web apps\JU_CONNECTs\eslint.config.js", "JavaScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 2, 2, 35
"d:\websites and web apps\JU_CONNECTs\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"d:\websites and web apps\JU_CONNECTs\package.json", "JSON", 0, 46, 0, 0, 0, 0, 0, 0, 0, 1, 47
"d:\websites and web apps\JU_CONNECTs\postcss.config.js", "JavaScript JSX", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\websites and web apps\JU_CONNECTs\public\404.html", "HTML", 0, 0, 0, 0, 0, 0, 18, 0, 0, 1, 19
"d:\websites and web apps\JU_CONNECTs\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 110, 0, 0, 0, 2, 7, 119
"d:\websites and web apps\JU_CONNECTs\src\components\ErrorBoundary.tsx", "TypeScript JSX", 0, 0, 0, 0, 147, 0, 0, 0, 6, 19, 172
"d:\websites and web apps\JU_CONNECTs\src\components\admin\AdminPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 380, 0, 0, 0, 2, 33, 415
"d:\websites and web apps\JU_CONNECTs\src\components\admin\EnhancedMonitoringDashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 375, 0, 0, 0, 20, 32, 427
"d:\websites and web apps\JU_CONNECTs\src\components\auth\AuthForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 196, 0, 0, 0, 2, 30, 228
"d:\websites and web apps\JU_CONNECTs\src\components\auth\AuthGuard.tsx", "TypeScript JSX", 0, 0, 0, 0, 106, 0, 0, 0, 8, 15, 129
"d:\websites and web apps\JU_CONNECTs\src\components\chat\ChatRoom.tsx", "TypeScript JSX", 0, 0, 0, 0, 334, 0, 0, 0, 14, 33, 381
"d:\websites and web apps\JU_CONNECTs\src\components\chat\MobileChatInterface.tsx", "TypeScript JSX", 0, 0, 0, 0, 520, 0, 0, 0, 39, 45, 604
"d:\websites and web apps\JU_CONNECTs\src\components\chat\UnifiedChatInterface.tsx", "TypeScript JSX", 0, 0, 0, 0, 769, 0, 0, 0, 45, 73, 887
"d:\websites and web apps\JU_CONNECTs\src\components\content\ContentCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 193, 0, 0, 0, 7, 26, 226
"d:\websites and web apps\JU_CONNECTs\src\components\content\ContentViewer.tsx", "TypeScript JSX", 0, 0, 0, 0, 196, 0, 0, 0, 6, 23, 225
"d:\websites and web apps\JU_CONNECTs\src\components\groups\ClassGroupList.tsx", "TypeScript JSX", 0, 0, 0, 0, 471, 0, 0, 0, 37, 44, 552
"d:\websites and web apps\JU_CONNECTs\src\components\groups\CreateGroupModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 261, 0, 0, 0, 3, 25, 289
"d:\websites and web apps\JU_CONNECTs\src\components\groups\GroupAdminPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 380, 0, 0, 0, 5, 40, 425
"d:\websites and web apps\JU_CONNECTs\src\components\groups\GroupChatInterface.tsx", "TypeScript JSX", 0, 0, 0, 0, 750, 0, 0, 0, 59, 61, 870
"d:\websites and web apps\JU_CONNECTs\src\components\groups\GroupPasswordModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 98, 0, 0, 0, 0, 11, 109
"d:\websites and web apps\JU_CONNECTs\src\components\layout\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 143, 0, 0, 0, 5, 11, 159
"d:\websites and web apps\JU_CONNECTs\src\components\layout\MobileBottomNav.tsx", "TypeScript JSX", 0, 0, 0, 0, 79, 0, 0, 0, 4, 11, 94
"d:\websites and web apps\JU_CONNECTs\src\components\layout\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 298, 0, 0, 0, 16, 29, 343
"d:\websites and web apps\JU_CONNECTs\src\components\messaging\PrivateMessageModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 346, 0, 0, 0, 23, 29, 398
"d:\websites and web apps\JU_CONNECTs\src\components\ui\AddCategoryModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 148, 0, 0, 0, 1, 17, 166
"d:\websites and web apps\JU_CONNECTs\src\components\ui\AuthModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 294, 0, 0, 0, 9, 40, 343
"d:\websites and web apps\JU_CONNECTs\src\components\ui\Badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 51, 0, 0, 0, 0, 7, 58
"d:\websites and web apps\JU_CONNECTs\src\components\ui\Button.tsx", "TypeScript JSX", 0, 0, 0, 0, 79, 0, 0, 0, 1, 10, 90
"d:\websites and web apps\JU_CONNECTs\src\components\ui\DemoModeBanner.tsx", "TypeScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"d:\websites and web apps\JU_CONNECTs\src\components\ui\FileUploadZone.tsx", "TypeScript JSX", 0, 0, 0, 0, 165, 0, 0, 0, 7, 21, 193
"d:\websites and web apps\JU_CONNECTs\src\components\ui\Input.tsx", "TypeScript JSX", 0, 0, 0, 0, 66, 0, 0, 0, 1, 9, 76
"d:\websites and web apps\JU_CONNECTs\src\components\ui\LoadingSpinner.tsx", "TypeScript JSX", 0, 0, 0, 0, 64, 0, 0, 0, 2, 7, 73
"d:\websites and web apps\JU_CONNECTs\src\components\ui\Modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 98, 0, 0, 0, 6, 13, 117
"d:\websites and web apps\JU_CONNECTs\src\components\ui\PageTransition.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 7, 34
"d:\websites and web apps\JU_CONNECTs\src\components\ui\PageTransitionNew.tsx", "TypeScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 4, 10, 57
"d:\websites and web apps\JU_CONNECTs\src\components\upload\FileUploadForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 330, 0, 0, 0, 18, 43, 391
